English,CEFR,gender,word,wordAudio,region,definition,sentenceAudio,example,sentenceTranslation,oldSentenceToBeDeleted
threaten,B1,verb,amenazar,,,Comunicar a alguien un daño futuro con palabras o gestos.,,"No quería amenazar a nadie, solo expresar mi preocupación.","I didn’t mean to threaten anyone, just express my concern.",
broad,B1,adjective,amplio,,,Que tiene gran extensión o amplitud.,,El parque es bastante amplio y perfecto para hacer deporte.,The park is quite broad and perfect for doing sports.,
add,B1,verb,añadir,,,Incorporar algo a lo que ya existe.,,Vamos a añadir un poco de sal a la sopa.,Let’s add a bit of salt to the soup.,
spirit,B1,masculine,ánimo,,,Estado emocional o disposición interior de una persona.,,Necesitas tener buen ánimo para seguir adelante.,You need to have good spirit to keep going.,
old,B1,adjective,antiguo,,,Que pertenece a una época pasada.,,Ese edificio antiguo fue construido en el siglo dieciocho.,That old building was built in the 18th century.,
appearance,B1,feminine,apariencia,,,Aspecto exterior de una persona o cosa.,,Su apariencia elegante impresionó a todos en la reunión.,Her elegant appearance impressed everyone at the meeting.,
separate,B1,verb,apartar,,,Separar a una persona o cosa de otras o ponerla a un lado.,,Tuvieron que apartar las mesas para hacer espacio en el salón.,They had to move the tables aside to make space in the hall.,
"just, as soon as",B1,adverb,apenas,,,Con dificultad o escasamente.,,"Apenas llegamos, empezó a llover.","As soon as we arrived, it started to rain.",
application,B1,feminine,aplicación,,,Programa informático diseñado para una función específica.,,Rellené la aplicación para el trabajo nuevo.,I filled out the application for the new job.,
apply,B1,verb,aplicar,,,Poner algo en práctica o usarlo.,,Voy a aplicar lo que aprendí en el curso.,I’m going to apply what I learned in the course.,
support,B1,verb,apoyar,,,Dar soporte o ayuda a alguien.,,Debemos apoyar esta iniciativa.,We must support this initiative.,
support,B1,masculine,apoyo,,,Sostenimiento o ayuda material o moral.,,Gracias por tu apoyo en momentos difíciles.,Thank you for your support in difficult moments.,
learning,B1,masculine,aprendizaje,,,Acción de adquirir conocimientos.,,El aprendizaje requiere tiempo y paciencia.,Learning requires time and patience.,
"pass, approve",B1,verb,aprobar,,,"Dar por válido un examen, propuesta o decisión.",,Espero aprobar el examen de matemáticas.,I hope to pass the math exam.,
"make use of, make the most of",B1,verb,aprovechar,,,Utilizar una situación o recurso de manera ventajosa.,,Tenemos que aprovechar el buen tiempo para salir a pasear.,We have to take advantage of the good weather to go for a walk.,
Arabic,B1,masculine,arabe,,,Natural de Arabia o relativo a este país o lengua.,,Estudia árabe en la universidad.,He studies Arabic at the university.,
"argument, plot",B1,masculine,argumento,,,Razonamiento que apoya una idea o la explica.,,Tuvieron una discusión con muchos argumentos válidos.,They had an argument with many valid points.,
weapon,B1,feminine,arma,,,"Instrumento, generalmente para defensa o ataque.",,La policía encontró el arma del crimen.,The police found the weapon used in the crime.,
hoop,B1,masculine,aro,,,"Pieza circular en forma de anillo, generalmente de metal, madera o plástico.",,El aro de la canasta estaba torcido después del partido.,The hoop of the basket was bent after the game.,
architect,B1,masculine,arquitecto,,,Persona que diseña edificios y construcciones.,,El arquitecto diseñó un edificio moderno y ecológico.,The architect designed a modern and ecological building.,
architecture,B1,feminine,arquitectura,,,Arte y técnica de diseñar y construir edificios.,,Estudia arquitectura en la universidad.,She studies architecture at the university.,
start up,B1,verb,arrancar,,,Poner en marcha un vehículo o máquina.,,El coche no quiere arrancar esta mañana.,The car won't start this morning.,
tidy,B1,adjective,arreglado,,,Que está limpio o en buen estado.,,Llevaba un traje muy arreglado para la fiesta.,He wore a very tidy suit for the party.,
"arrangement, array",B1,masculine,arreglo,,,Solución o reparación de algo.,,El arreglo de flores estaba en el centro de la mesa.,The flower arrangement was in the center of the table.,
article,B1,masculine,artículo,,,Texto publicado en prensa o elemento de una lista.,,Leí un artículo muy interesante sobre salud.,I read a very interesting article about health.,
assure,B1,verb,asegurar,,,Hacer que algo quede protegido o garantizado.,,Quiero asegurarme de que todo está correcto.,I want to make sure everything is correct.,
"facility, restroom",B1,masculine,aseo,,SP,Lugar destinado a la higiene personal.,,El aseo está al fondo del pasillo.,The restroom is at the end of the hallway.,
"subject, class",B1,feminine,asignatura,,,Materia que forma parte de un plan de estudios.,,Mi asignatura favorita es historia.,My favorite subject is history.,
attend,B1,verb,asistir,,,Estar presente en un lugar o participar en algo.,,Voy a asistir a la conferencia mañana.,I’m going to attend the conference tomorrow.,
"appearance, look",B1,masculine,aspecto,,,Apariencia externa de alguien o algo.,,Su aspecto ha cambiado mucho desde la última vez.,His appearance has changed a lot since the last time.,
astronomy,B1,feminine,astronomía,,,Ciencia que estudia los cuerpos celestes.,,Me interesa mucho la astronomía.,I’m very interested in astronomy.,
"subject, issue",B1,masculine,asunto,,,Tema o cuestión de que se trata.,,Este asunto necesita una solución urgente.,This issue needs an urgent solution.,
attack,B1,masculine,ataque,,,"Acción violenta contra alguien o algo, especialmente en un conflicto.",,El ataque del equipo contrario fue muy rápido.,The opposing team’s attack was very fast.,
sunset,B1,masculine,atardecer,,,Momento del día en que se pone el sol.,,El atardecer en la playa es muy bonito.,The sunset on the beach is very beautiful.,
attentive,B1,adjective,atento,,,Que presta atención y muestra interés o cuidado hacia alguien o algo.,,El camarero fue muy atento con nosotros.,The waiter was very attentive with us.,
athletic,B1,adjective,atlético,,,"Que tiene cualidades físicas relacionadas con la fuerza, la resistencia o el deporte.",,Mi hermano es muy atlético y va al gimnasio todos los días.,My brother is very athletic and goes to the gym every day.,
catch,B1,verb,atrapar,,,"Capturar o coger algo o a alguien, especialmente impidiendo su escape.",,El gato logró atrapar al ratón.,The cat managed to catch the mouse.,
audio,B1,masculine,audio,,,Sonido grabado o transmitido electrónicamente.,,Escuchamos el audio del podcast en clase.,We listened to the podcast audio in class.,
increase,B1,verb,aumentar,,,"Incrementar en tamaño, cantidad o intensidad.",,Queremos aumentar la producción este año.,We want to increase production this year.,
increase,B1,masculine,aumento,,,"Incremento en tamaño, cantidad o intensidad.",,"Este año hubo un aumento de precios en el transporte, así que voy en bici más a menudo.","This year there was an increase in transport prices, so I ride my bike more often.",
absence,B1,feminine,ausencia,,,Falta de alguien o de algo.,,La ausencia del profesor fue inesperada.,The teacher’s absence was unexpected.,
absent,B1,adjective,ausente,,,Que no está presente en un lugar.,,Juan está ausente hoy porque está enfermo.,Juan is absent today because he’s sick.,
"author, writer",B1,masculine,autor,,,Persona que crea obras literarias o artísticas.,,El autor firmó su libro después de la charla.,The author signed his book after the talk.,
advance,B1,verb,avanzar,,,"Progresar o moverse hacia delante en el espacio, el tiempo o un proceso.",,"Para avanzar en el proyecto, primero organizamos las tareas y luego pedimos ayuda al jefe.","To move the project forward, we first organized the tasks and then asked the boss for help.",
bird,B1,feminine,ave,,,Animal vertebrado que tiene plumas y pico.,,El ave levantó el vuelo sobre el río.,The bird took flight over the river.,
"announcement, warning",B1,masculine,aviso,,,Notificación o advertencia sobre algo.,,Recibí un aviso sobre el corte de agua.,I received a notice about the water outage.,
"fall, descent",B1,feminine,bajada,,,Descenso desde un lugar más alto a otro más bajo.,,La bajada por la montaña fue más difícil de lo esperado.,The descent down the mountain was more difficult than expected.,
scale,B1,feminine,balanza,,,Instrumento para pesar objetos mediante contrapeso.,,Pesé la maleta en la balanza del aeropuerto.,I weighed the suitcase on the airport scale.,
chin,B1,feminine,barbilla,,,"Parte inferior y prominente de la cara, debajo de la boca.",,Me salió un granito en la barbilla.,I got a pimple on my chin.,
"base, basis",B1,feminine,base,,,Fundamento o punto de apoyo de algo.,,La base del argumento es sólida y bien estructurada.,The basis of the argument is solid and well-structured.,
battle,B1,masculine,batalla,,,Enfrentamiento armado entre grupos o ejércitos.,,La batalla fue un momento clave en la película.,The battle was a key moment in the movie.,
baseball,B1,masculine,béisbol,,,Deporte en el que se golpea una pelota con un bate para anotar carreras.,,En Estados Unidos el béisbol es muy importante.,"In the United States, baseball is very important.",
beauty,B1,feminine,belleza,,,Cualidad de lo que es hermoso.,,La belleza del paisaje me dejó sin palabras.,The beauty of the landscape left me speechless.,
beautiful,B1,adjective,bello,,,Que resulta hermoso o agradable a la vista.,,La música clásica tiene un sonido realmente bello.,Classical music has a truly beautiful sound.,
"benefit, profit",B1,masculine,beneficio,,,Provecho o ganancia obtenida.,,Ese cambio trajo un gran beneficio para todos.,That change brought great benefit to everyone.,
bible,B1,feminine,Biblia,,,Libro sagrado de la religión cristiana.,,Estudiamos la Biblia en clase de religión.,We study the Bible in religion class.,
"welcome, greeting",B1,feminine,bienvenida,,,Recepción afectuosa a alguien que llega.,,Le dimos una cálida bienvenida a nuestro invitado.,We gave our guest a warm welcome.,
mustache,B1,masculine,bigote,,,Conjunto de pelos que crece sobre el labio superior.,,Se dejó crecer el bigote para noviembre.,He grew a mustache for November.,
soft,B1,adjective,blando,,,Que cede con facilidad a la presión; suave al tacto.,,El sofá es tan blando que me quedo dormido en cuanto me siento.,The sofa is so soft that I fall asleep as soon as I sit down.,
block,B1,masculine,bloque,,,Pieza grande de material compacto.,,Vivimos en un bloque de pisos muy alto.,We live in a very tall apartment block.,
cellar,B1,feminine,bodega,,,Lugar donde se almacenan vinos u otros productos.,,Guardan el vino en la bodega.,They store the wine in the cellar.,
edge,B1,masculine,borde,,,Extremo de una superficie o límite de algo.,,No te acerques demasiado al borde del acantilado.,Don’t get too close to the edge of the cliff.,
drunk,B1,adjective,borracho,,,Que ha bebido demasiado alcohol.,,Estaba un poco borracho después de la fiesta.,He was a bit drunk after the party.,
bounce,B1,verb,botar,,,Lanzar algo haciéndolo rebotar o caer.,,La pelota puede botar muy alto en esta pista.,The ball can bounce very high on this court.,
brief,B1,adjective,breve,,,De corta duración o extensión.,,Te envío un mensaje breve.,I’m sending you a brief message.,
brilliant,B1,adjective,brillante,,,Que refleja mucha luz o resalta por su intensidad.,,El cielo está brillante esta noche.,The sky is bright tonight.,
shine,B1,verb,brillar,,,Despedir luz propia o reflejada.,,El sol empieza a brillar por la mañana.,The sun begins to shine in the morning.,
shine,B1,masculine,brillo,,,Luz que se refleja o se percibe en una superficie.,,El brillo de la luna iluminaba el mar.,The moon’s shine lit up the sea.,
broccoli,B1,masculine,brócoli,,,"Verdura de color verde, con forma de árbol en miniatura, muy utilizada en la cocina.",,El brócoli es muy sano.,Broccoli is very healthy.,
joke,B1,verb,bromear,,,Hacer chistes o decir algo en tono gracioso.,,"Nos gusta bromear entre amigos, pero siempre con respeto.","We like joking among friends, but always respectfully.",
search,B1,feminine,busca,,,Acción de buscar algo o a alguien.,,La busca de una solución tomó varias semanas.,The search for a solution took several weeks.,
"horseman, cowboy, knight",B1,masculine,caballero,,,"Hombre educado y cortés, propio de la nobleza.",,El caballero saludó con cortesía a todos los presentes.,The gentleman greeted everyone politely.,
cabin,B1,feminine,cabaña,,,"Construcción pequeña en el campo, hecha de madera o piedra.",,Pasamos el fin de semana en una cabaña de madera.,We spent the weekend in a wooden cabin.,
hair,B1,masculine,cabello,,,Conjunto de cabellos de una persona.,,Tiene el cabello largo y rizado.,"She has long, curly hair.",
peanut,B1,masculine,cacahuete,,SP,Fruto seco también llamado maní.,,Soy alérgico al cacahuete.,I’m allergic to peanuts.,
chain,B1,feminine,cadena,,,Serie de eslabones unidos entre sí.,,La cadena del perro es muy larga.,The dog’s chain is very long.,
fall,B1,verb,caerse,,,Perder el equilibrio y dar con el cuerpo en el suelo.,,Juan se cayó en la calle pero no se hizo daño.,Juan fell in the street but didn’t get hurt.,
quality,B1,feminine,calidad,,,Cualidad de algo en cuanto a su valor o perfección.,,La calidad del producto es excelente.,The quality of the product is excellent.,
warm,B1,adjective,cálido,,,Que tiene una temperatura agradable o templada.,,El clima en primavera es muy cálido.,The weather in spring is very warm.,
grade,B1,feminine,calificación,,,Evaluación o nota otorgada.,,Mi calificación en matemáticas fue bastante buena.,My grade in mathematics was quite good.,
underpant,B1,masculine,calzón,,,Prenda de ropa interior masculina.,,Encontró un calzón viejo en la maleta.,He found an old pair of underpants in the suitcase.,
"campaign, countryside",B1,feminine,campaña,,,Conjunto de acciones realizadas para conseguir un fin social o político.,,La campaña publicitaria fue todo un éxito.,The advertising campaign was a total success.,
channel,B1,masculine,canal,,,Vía de comunicación o medio de transmisión.,,Hay un canal de cocina que me gusta mucho.,There’s a cooking channel I really like.,
basket,B1,feminine,canasta,,,Recipiente hondo y generalmente redondo que se utiliza para guardar o transportar objetos.,,La canasta está llena de frutas frescas.,The basket is full of fresh fruit.,
candidate,B1,masculine,candidato,,,Persona que se presenta a un cargo o concurso.,,El candidato respondió bien a las preguntas.,The candidate answered the questions well.,
crab,B1,masculine,cangrejo,,,Crustáceo marino o de río con caparazón duro y pinzas.,,Vimos un cangrejo caminando por la playa.,We saw a crab walking along the beach.,
tiredness,B1,masculine,cansancio,,,Estado de fatiga tras un esfuerzo.,,El cansancio después del viaje era evidente.,The tiredness after the trip was obvious.,
tire,B1,verb,cansar,,,Provocar cansancio físico o mental en alguien.,,Este trabajo me empieza a cansar.,This job is starting to tire me.,
capacity,B1,feminine,capacidad,,,Aptitud para realizar o aprender algo; volumen que cabe en un recipiente.,,La sala tiene capacidad para cien personas.,The room has a capacity for one hundred people.,
character,B1,masculine,carácter,,,Conjunto de cualidades que definen a una persona.,,Su carácter fuerte le ayuda a enfrentar los problemas.,His strong character helps him face problems.,
feature,B1,feminine,característica,,,"Rasgo o cualidad que distingue a una persona, animal o cosa.",,La paciencia es una característica importante en un buen profesor.,Patience is an important feature in a good teacher.,
characteristic,B1,adjective,característico,,,Que distingue o identifica a algo o alguien.,,La Alhambra es un lugar característico de Granada.,The Alhambra is a landmark in Granada.,
"identity card, driver's licence",B1,masculine,carné,,,Documento que acredita una identidad o permiso.,,Necesitas el carné para entrar en la biblioteca.,You need your ID to enter the library.,
poster,B1,masculine,cartel,,,Lámina o póster con mensajes o imágenes para informar o publicitar.,,Pegué un cartel del concierto en la pared de la facultad.,I put up a concert poster on the wall of the faculty building.,
"bark, peel, rind, shell",B1,feminine,cáscara,,,Capa externa que protege ciertos frutos o huevos.,,La cáscara de la naranja es difícil de quitar.,The orange peel is difficult to remove.,
"Castilian, Spanish",B1,masculine,castellano,,,Lengua española o persona natural de Castilla.,,El castellano es una de las lenguas oficiales de España.,Castilian is one of Spain’s official languages.,
punishment,B1,masculine,castigo,,,Pena o sanción que se aplica a quien ha cometido una falta.,,El castigo por llegar tarde fue limpiar toda la clase.,The punishment for arriving late was cleaning the whole classroom.,
Catalonia,B1,feminine,Cataluña,,,Comunidad autónoma de España con capital en Barcelona.,,Cataluña es una comunidad autónoma de España.,Catalonia is an autonomous community of Spain.,
Catholic,B1,adjective,católico,,,Relacionado con la religión católica.,,La mayoría de la población es católica.,Most of the population is Catholic.,
cause,B1,feminine,causa,,,Motivo o razón de algo.,,La causa del accidente aún está bajo investigación.,The cause of the accident is still under investigation.,
cause,B1,verb,causar,,,Provocar un efecto o producir una consecuencia.,,El ruido pudo causar molestias a los vecinos.,The noise might have caused inconvenience to the neighbors.,
eyebrow,B1,feminine,ceja,,,Franja de pelos que crece sobre los ojos.,,Tienes una ceja más alta que la otra.,You have one eyebrow higher than the other.,
central,B1,adjective,central,,,Que está en el medio o es lo más importante de un conjunto.,,La plaza central siempre está llena de turistas.,The central square is always full of tourists.,
"near, nearby, close",B1,adjective,cercano,,,Que está próximo en el espacio o en el tiempo.,,La farmacia más cercana está en la calle principal.,The nearest pharmacy is on the main street.,
brain,B1,masculine,cerebro,,,Órgano del sistema nervioso central en los animales.,,El cerebro controla todas las funciones del cuerpo.,The brain controls all body functions.,
ceremony,B1,feminine,ceremonia,,,Acto solemne con normas establecidas.,,La ceremonia fue muy emocionante para todos.,The ceremony was very moving for everyone.,
lock,B1,feminine,cerradura,,,Mecanismo que se coloca en una puerta para cerrarla con llave.,,La cerradura está rota.,The lock is broken.,
crash,B1,verb,chocar,,,Tropezar violentamente con algo o alguien.,,El coche iba demasiado rápido y terminó por chocar contra una farola.,The car was going too fast and ended up crashing into a lamppost.,
"chauffeur, driver",B1,noun,chofer,,,Persona que conduce un vehículo como profesión.,,El chofer llegó puntual al aeropuerto.,The driver arrived on time at the airport.,
chop,B1,feminine,chuleta,,,"Trozo de carne con hueso, cocinado a la plancha o frito.",,Voy a preparar una chuleta de cerdo para la cena.,I'm going to make pork chops for dinner.,
blind,B1,adjective,ciego,,,Que ha perdido total o parcialmente la vista.,,"Ese perro es ciego, pero se orienta bien.","That dog is blind, but he gets around well.",
scientific,B1,adjective,científico,,,Relacionado con la ciencia o persona dedicada a ella.,,El método científico es esencial para la investigación.,The scientific method is essential for research.,
true,B1,adjective,cierto,,,Que es verdadero o indudable.,,Es cierto que necesitamos más tiempo.,It’s true that we need more time.,
circle,B1,masculine,círculo,,,Figura geométrica cerrada cuyos puntos están a la misma distancia del centro.,,Formamos un círculo para hablar en grupo.,We formed a circle to talk in a group.,
citizen,B1,masculine,ciudadano,,,Persona que pertenece legalmente a una ciudad o país.,,Todo ciudadano tiene derechos y deberes.,Every citizen has rights and duties.,
clarity,B1,feminine,claridad,,,Condición de lo que es claro o transparente.,,Necesitamos más claridad en las instrucciones.,We need more clarity in the instructions.,
"password, key",B1,feminine,clave,,,Elemento esencial para comprender algo.,,Introduce la clave para acceder al sistema.,Enter the password to access the system.,
key,B1,adjective,clave,,,Fundamental o esencial para comprender o resolver algo.,,La idea clave del texto es la amistad.,The key idea of the text is friendship.,
nail,B1,masculine,clavo,,,"Pieza pequeña y cilíndrica de metal con cabeza, usada para clavar objetos.",,Clavé el cuadro con un clavo pequeño.,I nailed the picture with a small nail.,
clip,B1,masculine,clip,,,Pieza pequeña de metal o plástico que sirve para sujetar papeles.,,Voy a sujetar estos papeles con un clip.,I’m going to hold these papers together with a clip.,
cabbage,B1,feminine,col,,,Planta hortícola de hojas grandes y redondeadas que forman un cogollo.,,Hoy vamos a cocinar col con patatas.,Today we’re cooking cabbage with potatoes.,
collaboration,B1,feminine,colaboración,,,Trabajo en conjunto para lograr un objetivo.,,La colaboración entre las dos empresas fue muy productiva.,The collaboration between the two companies was very productive.,
collaborate,B1,verb,colaborar,,,Trabajar junto con otros en una tarea.,,Nos gusta colaborar en proyectos solidarios.,We like to collaborate on charity projects.,
collection,B1,feminine,colección,,,Conjunto ordenado de objetos de una misma clase.,,Mi colección de monedas incluye ejemplares de muchos países.,My coin collection includes specimens from many countries.,
collect,B1,verb,coleccionar,,,Reunir objetos del mismo tipo como afición.,,Me gusta coleccionar postales de los lugares que visito.,I like collecting postcards from the places I visit.,
hang,B1,verb,colgar,,,Suspender algo en un lugar más alto.,,Voy a colgar el abrigo en el perchero.,I’m going to hang the coat on the rack.,
colony,B1,feminine,colonia,,,Territorio controlado por otro país o colonia de insectos.,,España tuvo muchas colonias en América.,Spain had many colonies in America.,
column,B1,feminine,columna,,,Elemento arquitectónico vertical que sostiene un edificio.,,La columna del edificio está hecha de mármol.,The building’s column is made of marble.,
combat,B1,masculine,combate,,,Lucha física entre dos personas o grupos.,,El combate duró solo unos minutos.,The combat lasted only a few minutes.,
combination,B1,feminine,combinación,,,Unión de varios elementos que forman un todo.,,Esa combinación de colores queda muy bien.,That color combination looks very good.,
combine,B1,verb,combinar,,,Unir dos o más elementos en uno.,,Podemos combinar estas ideas en una sola propuesta.,We can combine these ideas into a single proposal.,
fuel,B1,masculine,combustible,,,Sustancia que arde y produce energía al quemarse.,,El coche necesita más combustible.,The car needs more fuel.,
comment,B1,verb,comentar,,,Dar una opinión sobre un hecho o situación.,,Quiero comentar algo sobre la película.,I want to comment on the movie.,
comment,B1,masculine,comentario,,,Juicio o explicación sobre algo dicho.,,Tu comentario fue muy interesante.,Your comment was very interesting.,
commit,B1,verb,cometer,,,"Realizar una acción, generalmente con matiz de error o falta.",,No debes cometer los mismos errores otra vez.,You shouldn’t commit the same mistakes again.,
beginning,B1,masculine,comienzo,,,Principio o inicio de algo.,,Desde el comienzo se notaba que sería difícil.,"From the beginning, it was clear it would be difficult.",
committee,B1,masculine,comité,,,Grupo de personas designadas para una tarea específica.,,El comité organizó la reunión anual.,The committee organized the annual meeting.,
comfort,B1,feminine,comodidad,,,Situación de bienestar que proporciona facilidad y tranquilidad.,,Buscamos siempre la comodidad en casa.,We always look for comfort at home.,
be compared,B1,verb,compararse,,,Establecer una relación de semejanza o diferencia con otra persona o cosa.,,No me gusta compararme con mis amigos porque todos somos diferentes.,I don’t like comparing myself to my friends because we are all different.,
competition,B1,feminine,competencia,,LA,Competencia entre personas para demostrar habilidades.,,La competencia entre empresas es fuerte.,The competition between companies is strong.,
completely,B1,adverb,completamente,,,De manera total o absoluta.,,Estoy completamente de acuerdo contigo.,I completely agree with you.,
complicated,B1,adjective,complicado,,,Que tiene muchas dificultades o resulta enredado.,,El problema es más complicado de lo que parece.,The problem is more complicated than it seems.,
behavior,B1,masculine,comportamiento,,,Conjunto de acciones que definen la conducta de alguien.,,El comportamiento del alumno fue ejemplar.,The student’s behavior was exemplary.,
behave,B1,verb,comportarse,,,Actuar de cierta manera siguiendo normas sociales o morales.,,Es importante comportarse con respeto en una entrevista de trabajo.,It’s important to behave respectfully in a job interview.,
purchase,B1,feminine,compra,,,Acción de adquirir algo a cambio de dinero.,,La compra del supermercado nos salió barata porque aprovechamos una oferta.,Our grocery shopping turned out cheap because we took advantage of a deal.,
understanding,B1,feminine,comprensión,,,Capacidad de comprender o entender algo.,,Su explicación mostró una buena comprensión del tema.,His explanation showed a good understanding of the topic.,
communicate,B1,verb,comunicarse,,,Transmitir información o ideas de una persona a otra.,,Me gusta comunicarme con mis amigos por videollamada.,I like to communicate with my friends by video call.,
concentration,B1,feminine,concentración,,,Acto de dirigir la atención a un solo tema.,,Necesito concentración total para terminar este informe.,I need total concentration to finish this report.,
concept,B1,masculine,concepto,,,Representación mental o abstracta de algo.,,El concepto de libertad es muy amplio.,The concept of freedom is very broad.,
"competition, contest",B1,masculine,concurso,,,Competición o certamen en el que participan varios.,,Participé en un concurso de fotografía.,I participated in a photography contest.,
condition,B1,feminine,condición,,,Circunstancia necesaria para que algo se realice.,,La condición del paciente ha mejorado.,The patient’s condition has improved.,
drive,B1,verb,conducir,,SP,Dirigir un vehículo.,,Conducir en una ciudad grande puede ser estresante para los principiantes.,Driving in a big city can be stressful for beginners.,
behavior,B1,feminine,conducta,,,Manera de comportarse una persona o un grupo.,,"Su conducta en clase ha mejorado, y ahora participa sin interrumpir.","Their behavior in class has improved, and now they participate without interrupting.",
connection,B1,feminine,conexión,,,Unión o enlace entre cosas o personas.,,Necesito una buena conexión a internet para trabajar.,I need a good internet connection to work.,
"conference, lecture",B1,feminine,conferencia,,,Exposición oral ante un público.,,Asistí a una conferencia sobre salud mental.,I attended a lecture on mental health.,
"confidence, trust",B1,feminine,confianza,,,Esperanza en la sinceridad o habilidad de alguien.,,Tengo mucha confianza en mis amigos.,I have a lot of trust in my friends.,
conflict,B1,masculine,conflicto,,,Enfrentamiento entre dos partes con intereses opuestos.,,Hubo un pequeño conflicto entre los compañeros.,There was a small conflict between the classmates.,
congress,B1,masculine,congreso,,,Reunión política de representantes.,,El congreso empieza mañana en Madrid.,The congress starts tomorrow in Madrid.,
"set, group",B1,masculine,conjunto,,,Grupo formado por varias cosas o personas.,,El conjunto musical tocó durante una hora.,The music group played for an hour.,
knowledge,B1,masculine,conocimiento,,,Conjunto de saberes adquiridos por experiencia o estudio.,,El conocimiento es la base del progreso.,Knowledge is the foundation of progress.,
achieve,B1,verb,conseguir,,,Lograr o alcanzar lo que se pretende.,,Al final conseguí el trabajo que buscaba porque preparé bien la entrevista.,In the end I got the job I was looking for because I prepared well for the interview.,
"conserve, preserve",B1,verb,conservar,,,Mantener algo en buen estado o conservar sus características con el paso del tiempo.,,Debemos conservar el agua para el futuro.,We must conserve water for the future.,
consider,B1,verb,considerar,,,Pensar detenidamente en algo.,,Vamos a considerar todas las opciones antes de decidir.,Let’s consider all the options before deciding.,
consumer,B1,masculine,consumidor,,,Persona que compra bienes o servicios para su uso propio.,,El consumidor tiene derecho a recibir un producto de calidad.,The consumer has the right to receive a quality product.,
consume,B1,verb,consumir,,,Gastar o usar algo al ingerirlo o emplearlo.,,No es saludable consumir tanto azúcar.,It is not healthy to consume so much sugar.,
contact,B1,verb,contactar,,,Ponerse en comunicación con otra persona.,,Puedes contactar conmigo por teléfono.,You can contact me by phone.,
contact,B1,masculine,contacto,,,Relación que une a dos personas o grupos.,,Perdí el contacto con varios compañeros del colegio.,I lost contact with several schoolmates.,
pollution,B1,feminine,contaminación,,,Presencia de sustancias dañinas en el medio ambiente.,,La contaminación del aire es un problema grave.,Air pollution is a serious problem.,
contain,B1,verb,contener,,,Incluir algo en el interior de otra cosa.,,Esta caja puede contener hasta diez libros.,This box can hold up to ten books.,
content,B1,masculine,contenido,,,Materia que forma parte de un todo.,,El contenido del curso es muy interesante.,The course content is very interesting.,
content,B1,adjective,contento,,,Que muestra alegría o satisfacción.,,Estoy contento con los resultados.,I’m happy with the results.,
reply,B1,interjection,contestación,,,Respuesta a una pregunta o situación.,,Su contestación fue clara y rápida.,His reply was clear and quick.,
continent,B1,masculine,continente,,,Gran extensión de tierra rodeada de mar.,,África es un continente muy grande y diverso.,Africa is a very large and diverse continent.,
opposite,B1,adjective,contrario,,,Que se opone a lo afirmado.,,Tienen opiniones contrarias sobre el tema.,They have opposing opinions on the subject.,
contract,B1,verb,contratar,,,Acordar con alguien un servicio a cambio de un pago.,,Vamos a contratar a una nueva secretaria.,We’re going to hire a new secretary.,
contract,B1,masculine,contrato,,,Documento legal que establece un acuerdo.,,Ya firmamos el contrato con la empresa.,We’ve already signed the contract with the company.,
control,B1,masculine,control,,,Supervisión o dominio sobre algo.,,El control de calidad es muy estricto.,Quality control is very strict.,
control,B1,verb,controlar,,,Vigilar o dirigir el funcionamiento de algo.,,Hay que controlar los gastos mensuales.,We need to control monthly expenses.,
flirt,B1,verb,coquetear,,,Intentar seducir a alguien de manera juguetona.,,"Le gusta coquetear con sus compañeros de clase, siempre con una sonrisa.","She likes to flirt with her classmates, always with a smile.",
current,B1,feminine,corriente,,,"Masa de agua en movimiento continuo en un río, mar u otro medio.",,La corriente del río era demasiado fuerte para cruzar.,The river’s current was too strong to cross.,
running,B1,adjective,corriente,,,"Que es común, habitual u ordinario.",,El agua corriente no está disponible en todas las zonas rurales.,Running water is not available in all rural areas.,
cost,B1,masculine,coste,,,Precio que tiene algo.,,El coste de vida ha subido mucho.,The cost of living has gone up a lot.,
cost,B1,masculine,costo,,,Valor o gasto de algo.,,El costo de la reparación fue más alto de lo esperado.,The cost of the repair was higher than expected.,
creation,B1,feminine,creación,,,Acción y efecto de crear algo.,,La creación del nuevo logo tomó varias semanas.,The creation of the new logo took several weeks.,
credit,B1,masculine,crédito,,,Cantidad de dinero prestado con obligación de devolverlo.,,Solicité un crédito para renovar la cocina.,I applied for a loan to renovate the kitchen.,
crime,B1,masculine,crimen,,,Acción ilegal grave castigada por la ley.,,El crimen ocurrió en el centro de la ciudad.,The crime happened in the city center.,
crisis,B1,feminine,crisis,,,Situación de dificultad o inestabilidad en un país o persona.,,La crisis económica afectó a muchas familias.,The economic crisis affected many families.,
Christian,B1,adjective,cristiano,,,Que profesa la religión de Cristo.,,Mi abuela es cristiana practicante.,My grandmother is a practicing Christian.,
criticism,B1,feminine,crítica,,,Juicio u opinión sobre algo o alguien.,,Recibió una crítica positiva por su trabajo.,He received positive criticism for his work.,
"as much as, as many as",B1,pronoun,cuanto,,,Pronombre que introduce una cantidad indeterminada.,,Tienes tanto dinero cuanto necesitas para viajar.,You have as much money as you need to travel.,
covered,B1,adjective,cubierto,,,Que está cubierto o tapado.,,El cielo está cubierto de nubes.,The sky is covered with clouds.,
cover,B1,verb,cubrir,,,Colocar algo encima de otra cosa para taparla.,,Voy a cubrir la mesa con un mantel.,I'm going to cover the table with a tablecloth.,
