titleSpanish,titleEnglish,genre,CEFR,spanish,english
Relaciones entre España y Estados Unidos,Spanish–United States Relations,history,B2,"Las relaciones entre España y Estados Unidos son complejas y dinámicas, con raíces históricas que se remontan a la Edad Moderna y que han pasado por etapas de conflicto y de estrecha cooperación. Tras la ruptura de 1898, los vínculos se reconstruyeron gradualmente y hoy abarcan economía, defensa, cultura y ciencia. Estados Unidos es uno de los principales socios de España fuera de la UE, con flujos de inversión en sectores como energía, finanzas, tecnología y audiovisual. A su vez, empresas españolas han consolidado presencia en el mercado estadounidense, mientras que el turismo y los programas académicos alimentan un intercambio humano constante. En materia de seguridad, ambos países cooperan en el marco de la OTAN y mantienen acuerdos que permiten operar desde Rota y Morón, puntos estratégicos para misiones en el Atlántico y el Mediterráneo. Esta dimensión se complementa con la colaboración en ciberseguridad y lucha contra el terrorismo, ámbitos en los que el intercambio de inteligencia resulta esencial. La cultura actúa como puente decisivo. El peso del español en Estados Unidos favorece proyectos educativos y mediáticos, y promueve una imagen mutua más matizada. Aun así, surgen tensiones periódicas por aranceles, regulación digital, privacidad de datos o posiciones divergentes ante crisis internacionales. El reto es gestionar esas diferencias sin que dañen la cooperación de fondo. De cara al futuro, la transición energética, la inteligencia artificial y la adaptación al cambio climático ofrecen oportunidades claras. Para que la alianza siga siendo útil, es clave que ambos gobiernos mantengan un diálogo transparente y que la sociedad civil participe en definir prioridades compartidas.","Relations between Spain and the United States are complex and dynamic, with historical roots dating back to the Modern Age and which have gone through periods of conflict and close cooperation. After the rupture in 1898, ties were gradually rebuilt and today encompass economics, defense, culture, and science. The United States is one of Spain's main partners outside the EU, with investment flows in sectors such as energy, finance, technology, and audiovisual. In turn, Spanish companies have consolidated their presence in the US market, while tourism and academic programs fuel constant human exchange. In terms of security, both countries cooperate within the framework of NATO and maintain agreements that allow operations from Rota and Morón, strategic points for missions in the Atlantic and the Mediterranean. This dimension is complemented by collaboration in cybersecurity and the fight against terrorism, areas in which intelligence sharing is essential. Culture acts as a decisive bridge. The influence of Spanish in the United States favors educational and media projects and promotes a more nuanced mutual image. Even so, tensions arise periodically over tariffs, digital regulation, data privacy, or divergent positions on international crises. The challenge is to manage these differences without damaging underlying cooperation. Looking ahead, the energy transition, artificial intelligence, and climate change adaptation offer clear opportunities. For the alliance to remain useful, it is essential that both governments maintain transparent dialogue and that civil society participate in defining shared priorities."
La alegoría de la caverna,The Allegory of the Cave,philosophy,B2,,
La Guerra Fría,The Cold War,history,B2,,
La vida de los otros,The Lives of Others,drama,B2,,
Los dioses nórdicos,The Norse Gods,fantasy,B2,,
El efecto placebo,The Placebo Effect,psychology,B2,"El efecto placebo es la mejoría real de un paciente después de recibir una sustancia o un procedimiento sin principio activo. No se trata de que la persona “se lo imagine”, sino de que la expectativa de alivio activa procesos biológicos medibles. Por eso, en los ensayos clínicos se usan placebos para comparar resultados y comprobar si un fármaco funciona más allá de la sugestión. En un estudio doble ciego, ni los participantes ni los investigadores saben quién recibe el medicamento y quién recibe el placebo, lo que reduce sesgos y aumenta la fiabilidad de las conclusiones. Los mecanismos del efecto placebo son diversos. La expectativa positiva puede reducir la percepción del dolor mediante la liberación de endorfinas y la activación de circuitos dopaminérgicos. También influye el condicionamiento: si un tratamiento se asocia repetidamente con mejoría, el cuerpo aprende a responder. Además, el contexto importa. El tono de voz del profesional, la bata blanca, el tamaño y el color de la pastilla o la confianza en el sistema sanitario modulan la respuesta. Lo contrario se llama efecto nocebo, cuando la expectativa negativa empeora los síntomas. En la práctica clínica, el placebo puede aliviar dolor, insomnio o ansiedad, sobre todo cuando los síntomas son subjetivos y fluctuantes. Sin embargo, tiene límites. No cura infecciones ni sustituye tratamientos necesarios, y su uso sin transparencia plantea problemas éticos. Por eso crece el interés por los placebos “abiertos”, en los que el paciente sabe que toma un placebo y aun así mejora. En definitiva, comprender el efecto placebo ayuda a diseñar mejores ensayos y a cuidar mejor la relación entre profesionales y pacientes.","The placebo effect is the actual improvement of a patient after receiving a substance or procedure without an active ingredient. It's not a matter of the person ""imagining it,"" but rather the expectation of relief that activates measurable biological processes. Therefore, in clinical trials, placebos are used to compare results and verify whether a drug works beyond suggestion. In a double-blind study, neither the participants nor the researchers know who is receiving the drug and who is receiving the placebo, which reduces bias and increases the reliability of the conclusions. The mechanisms of the placebo effect are diverse. Positive expectation can reduce the perception of pain by releasing endorphins and activating dopaminergic circuits. Conditioning also plays a role: if a treatment is repeatedly associated with improvement, the body learns to respond. Furthermore, context matters. The tone of voice of the professional, the white coat, the size and color of the pill, or trust in the healthcare system modulate the response. The opposite is called the nocebo effect, when negative expectation worsens symptoms. In clinical practice, placebos can relieve pain, insomnia, or anxiety, especially when symptoms are subjective and fluctuating. However, they have limits. They do not cure infections or replace necessary treatments, and their use without transparency raises ethical issues. This is why there is growing interest in ""open"" placebos, in which the patient knows they are taking a placebo and still improves. Ultimately, understanding the placebo effect helps design better trials and better maintain the relationship between professionals and patients."
El cuervo,The Raven,horror,B2,,
La teoría de Evolución,The Theory of Evolution,science,B2,"La teoría de la evolución explica cómo cambian las especies con el paso del tiempo y por qué la vida presenta tanta diversidad. El principio central es la selección natural, propuesta por Charles Darwin. Según esta idea, los individuos de una población presentan variaciones heredables. Algunas de esas variaciones, en un entorno concreto, ofrecen ventajas para sobrevivir y reproducirse. Quienes las poseen dejan más descendencia, de modo que esos rasgos se vuelven más comunes generación tras generación. Hoy sabemos que las mutaciones del ADN, que ocurren de manera aleatoria, introducen nuevas variantes. Además de la selección natural, existen otros procesos, como la deriva genética o el flujo de genes entre poblaciones, que también influyen en la evolución. La paleontología, la biogeografía y la genética moderna proporcionan pruebas complementarias: el registro fósil muestra cambios acumulados, la distribución de especies revela historias comunes y el estudio del ADN confirma parentescos que a veces no son evidentes a simple vista. Un ejemplo cotidiano es la resistencia a los antibióticos. Las bacterias que, por casualidad, tienen una mutación que las protege, sobreviven al tratamiento y se multiplican. Si el uso del antibiótico continúa, la población entera puede volverse resistente. Este caso ilustra cómo la presión del entorno dirige qué variantes prosperan. Conviene aclarar un malentendido frecuente. La evolución no persigue una meta ni pretende crear seres “más avanzados”. Solo describe cambios en las poblaciones a lo largo del tiempo, guiados por condiciones locales. Comprender este proceso no solo ilumina el pasado de la vida en la Tierra, sino que también ayuda a tomar decisiones informadas en salud, conservación y agricultura.","The theory of evolution explains how species change over time and why life is so diverse. The central principle is natural selection, proposed by Charles Darwin. According to this idea, individuals in a population exhibit heritable variations. Some of these variations, in a specific environment, offer advantages for survival and reproduction. Those who possess these variations leave more offspring, so those traits become more common generation after generation. Today we know that DNA mutations, which occur randomly, introduce new variants. In addition to natural selection, other processes, such as genetic drift or gene flow between populations, also influence evolution. Paleontology, biogeography, and modern genetics provide complementary evidence: the fossil record shows accumulated changes, the distribution of species reveals shared histories, and the study of DNA confirms relatedness that is sometimes not obvious to the naked eye. An everyday example is antibiotic resistance. Bacteria that, by chance, have a protective mutation survive treatment and multiply. If antibiotic use continues, the entire population can become resistant. This case illustrates how environmental pressure directs which variants thrive. It's important to clarify a common misunderstanding. Evolution doesn't pursue a goal or aim to create ""more advanced"" beings. It merely describes changes in populations over time, guided by local conditions. Understanding this process not only sheds light on the history of life on Earth, but also helps inform decisions in health, conservation, and agriculture."
Las Naciones Unidas,The United Nations,politics,B2,"La Organización de las Naciones Unidas, fundada en 1945 tras la Segunda Guerra Mundial, nació con la ambición de evitar nuevos conflictos de esa magnitud y de promover la cooperación internacional. Su sede principal está en Nueva York, y sus órganos más conocidos son la Asamblea General, donde participan todos los Estados miembros, y el Consejo de Seguridad, responsable del mantenimiento de la paz y la seguridad internacionales. Además de la diplomacia, la ONU coordina un sistema amplio de agencias especializadas, como la OMS, UNICEF y ACNUR. Estas entidades trabajan para que se protejan los derechos humanos, se combatan las epidemias y se atienda a refugiados. La Agenda 2030 y sus Objetivos de Desarrollo Sostenible ofrecen un marco común para que los países reduzcan la pobreza, impulsen la educación y enfrenten la crisis climática. Aun así, la organización recibe críticas. Muchos señalan que el derecho de veto de los miembros permanentes del Consejo de Seguridad limita la capacidad de respuesta. Otros sostienen que la burocracia ralentiza proyectos urgentes o que la financiación depende en exceso de unos pocos países. Por eso, se debate con frecuencia cómo reformar sus estructuras para que sean más representativas y eficaces. En conjunto, la ONU no resuelve todos los problemas, pero proporciona un espacio donde negociar, fijar normas y coordinar acciones. En un mundo interdependiente, que los Estados dialoguen y rindan cuentas en un foro común sigue siendo esencial.","The United Nations, founded in 1945 after the Second World War, was born with the ambition of preventing further conflicts of this magnitude and promoting international cooperation. Its headquarters are in New York, and its best-known bodies are the General Assembly, attended by all member states, and the Security Council, responsible for maintaining international peace and security. In addition to diplomacy, the UN coordinates a broad system of specialized agencies, such as the WHO, UNICEF, and UNHCR. These entities work to protect human rights, combat epidemics, and care for refugees. The 2030 Agenda and its Sustainable Development Goals provide a common framework for countries to reduce poverty, boost education, and address the climate crisis. Still, the organization faces criticism. Many point out that the veto power of the permanent members of the Security Council limits its capacity to respond. Others argue that bureaucracy slows down urgent projects or that funding is overly dependent on a few countries. For this reason, there is frequent debate about how to reform its structures to make them more representative and effective. Overall, the UN does not solve all problems, but it provides a space for negotiation, standard-setting, and coordination of actions. In an interdependent world, the dialogue and accountability of states in a common forum remains essential."
Cocina vegetariana,Vegetarian Cooking,food,B2,"La cocina vegetariana ha dejado de ser una rareza y se ha convertido en una opción cotidiana para quienes buscan comer de forma más sostenible y variada. Lejos del tópico de la ensalada aburrida, ofrece técnicas y sabores capaces de convencer incluso a quienes dudan. La clave está en planificar bien y en equilibrar el plato para que incluya proteínas, hidratos de carbono de calidad y grasas saludables. Las legumbres, como los garbanzos y las lentejas, son la base más versátil. Se pueden convertir en cremas especiadas, albóndigas al horno o guisos reconfortantes que, si se cocinan con caldo y hierbas aromáticas, resultan tan sabrosos como cualquier plato de carne. También conviene integrar fuentes proteicas como el tofu, el tempeh o el queso fresco, que absorben muy bien los adobos con pimentón, comino o salsa de soja. Para completar, los cereales integrales aportan energía sostenida y una textura agradable, ya sea en forma de arroz, bulgur o quinoa. Las verduras ganan protagonismo cuando se tratan con respeto. Asarlas concentra el sabor, saltearlas rápidamente mantiene la firmeza y escaldarlas ayuda a conservar el color. Es importante que el cocinero ajuste la sazón y juegue con contrastes, por ejemplo, añadiendo frutos secos tostados para dar crujiente o un chorrito de limón para equilibrar platos cremosos. Si se planifica el menú semanal y se aprovechan las sobras, la cocina vegetariana no solo resulta nutritiva, también práctica y económica.","Vegetarian cuisine is no longer a rarity and has become an everyday option for those seeking to eat in a more sustainable and varied way. Far from the cliché of boring salads, it offers techniques and flavors capable of convincing even those who are skeptical. The key is to plan well and balance the dish to include protein, quality carbohydrates, and healthy fats. Legumes, such as chickpeas and lentils, are the most versatile base. They can be turned into spicy creams, baked meatballs, or comforting stews that, when cooked with broth and aromatic herbs, are as tasty as any meat dish. It's also a good idea to include protein sources such as tofu, tempeh, or fresh cheese, which absorb marinades with paprika, cumin, or soy sauce very well. To top it off, whole grains provide sustained energy and a pleasant texture, whether in the form of rice, bulgur, or quinoa. Vegetables take center stage when treated with respect. Roasting concentrates the flavor, sautéing quickly maintains firmness, and blanching helps preserve color. It is important for the cook to adjust the seasoning and play with contrasts, for example, adding toasted nuts for crunch or a squeeze of lemon to balance creamy dishes. If you plan your weekly menu and make use of leftovers, vegetarian cooking is not only nutritious, but also practical and economical."
Budismo zen,Zen Buddhism,philosophy,B2,"El budismo zen, nacido en China como “chán” y desarrollado después en Japón, propone una vía directa para comprender la realidad tal como es. Su práctica central es el zazen, una meditación sentada que combina postura estable, respiración tranquila y atención plena a lo que surge momento a momento. No busca producir experiencias extraordinarias, sino cultivar claridad y ecuanimidad. Muchos practicantes trabajan con kōans, breves preguntas o historias que rompen los hábitos mentales y señalan algo que no puede explicarse solo con conceptos. A la vez, el zen valora la sencillez en la vida diaria. Cocinar, limpiar o caminar se convierten en oportunidades para practicar una presencia serena. Artes como la caligrafía, la jardinería o la ceremonia del té expresan esta estética de sobriedad y precisión. Aunque no impone dogmas estrictos, el zen tiene una ética clara basada en la compasión, la honestidad y la no violencia. La transmisión de la enseñanza suele pasar de maestro a discípulo, y se sostiene en la disciplina: sentarse cada día, observar la mente y actuar con cuidado en lo cotidiano. En un mundo acelerado y lleno de distracciones, el zen no promete felicidad inmediata. Ofrece algo distinto: una relación más lúcida con el sufrimiento y una libertad interior que crece al dejar de aferrarse a lo que cambia.","Zen Buddhism, originating in China as ""chán"" and later developed in Japan, proposes a direct path to understanding reality as it is. Its central practice is zazen, a seated meditation that combines a stable posture, calm breathing, and mindfulness of what arises moment by moment. It does not seek to produce extraordinary experiences, but rather to cultivate clarity and equanimity. Many practitioners work with kōans, short questions or stories that break mental habits and point to something that cannot be explained with concepts alone. At the same time, Zen values simplicity in daily life. Cooking, cleaning, or walking become opportunities to practice serene presence. Arts such as calligraphy, gardening, and the tea ceremony express this aesthetic of sobriety and precision. Although it does not impose strict dogmas, Zen has a clear ethic based on compassion, honesty, and nonviolence. The transmission of teachings is usually passed from master to disciple and is sustained by discipline: sitting every day, observing the mind, and acting carefully in everyday life. In a fast-paced world full of distractions, Zen doesn't promise immediate happiness. It offers something different: a more lucid relationship with suffering and an inner freedom that grows when we let go of clinging to what changes."
Un enemigo del pueblo,An Enemy of the People,drama,C,,
La ciudad que nunca existió,The City That Never Was,psychology,C,,
Peer Gynt,Peer Gynt,drama,C,,
Sigmund Freud,Sigmund Freud,biography,C,,
La leyenda de Zelda - Ocarina of Time,The Legend of Zelda - Ocarina of Time,art,C,,
El pato salvaje,The Wild Duck,drama,C,,
Existencialismo,Existentialism,philosophy,C,,
Marxismo,Marxism,politics,C,,
Alimentos fermentados,Fermented Foods,food,C,,
